 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 06분 47초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 11시 07분 21초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 07분 43초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 07분 48초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 08분 12초
 Licence Number: 55라8502  Entering Time: 2020년 10월 05일 11시 08분 18초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 08분 45초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 08분 56초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 09분 08초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 09분 51초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 09분 56초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 10분 01초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 10분 06초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 10분 12초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 10분 18초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 10분 30초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 11시 10분 55초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 11분 34초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 11시 11분 47초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 13분 00초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 13분 37초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 13분 42초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 11시 13분 55초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 11시 26분 02초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 11시 26분 48초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 26분 58초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 27분 06초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 27분 30초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 27분 34초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 28분 09초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 28분 14초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 28분 19초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 28분 33초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 11시 28분 42초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 11시 28분 56초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 29분 39초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 11시 30분 01초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 11시 46분 41초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 46분 54초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 12시 12분 07초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 12시 12분 19초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 12시 12분 31초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 14시 08분 26초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 14시 08분 36초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 14시 08분 40초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 14시 08분 43초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 14시 08분 47초
